pais,tau,inef,theta_star_cum,theta_star_flat,eta0
ES,0.1,0.2,0.02259581100715541,0.04781997187060473,0.5137889613550007
ES,0.1,0.35,0.018359096443313832,0.03885372714486648,0.5137889613550007
ES,0.1,0.45,0.015534620067419382,0.03287623066104083,0.5137889613550007
ES,0.2,0.2,0.04519162201431082,0.09563994374120946,0.5137889613550007
ES,0.2,0.35,0.03671819288662757,0.07770745428973275,0.5137889613550007
ES,0.2,0.45,0.031069240134838663,0.06575246132208146,0.5137889613550007
ES,0.3,0.2,0.06778743302146634,0.1434599156118144,0.5137889613550007
ES,0.3,0.35,0.0550772893299414,0.11656118143459922,0.5137889613550007
ES,0.3,0.45,0.04660386020225804,0.09862869198312228,0.5137889613550007
FR,0.1,0.2,0.025500986708075393,0.053968253968253894,0.5109308897032898
FR,0.1,0.35,0.02071955170031129,0.04384920634920636,0.5109308897032898
FR,0.1,0.45,0.017531928361801893,0.03710317460317467,0.5109308897032898
FR,0.2,0.2,0.05100197341615088,0.10793650793650797,0.5109308897032898
FR,0.2,0.35,0.04143910340062258,0.08769841269841272,0.5109308897032898
FR,0.2,0.45,0.03506385672360369,0.07420634920634915,0.5109308897032898
FR,0.3,0.2,0.07650296012422628,0.16190476190476186,0.5109308897032898
FR,0.3,0.35,0.06215865510093388,0.13154761904761908,0.5109308897032898
FR,0.3,0.45,0.05259578508540558,0.11130952380952382,0.5109308897032898
DE,0.1,0.2,0.024122554994125384,0.05105105105105099,0.5156866077518618
DE,0.1,0.35,0.01959957593272694,0.041478978978979064,0.5156866077518618
DE,0.1,0.45,0.01658425655846122,0.0350975975975976,0.5156866077518618
DE,0.2,0.2,0.04824510998825085,0.10210210210210216,0.5156866077518618
DE,0.2,0.35,0.03919915186545379,0.08295795795795795,0.5156866077518618
DE,0.2,0.45,0.03316851311692244,0.0701951951951952,0.5156866077518618
DE,0.3,0.2,0.07236766498237623,0.15315315315315314,0.5156866077518618
DE,0.3,0.35,0.058798727798180635,0.12443693693693683,0.5156866077518618
DE,0.3,0.45,0.04975276967538367,0.1052927927927928,0.5156866077518618
IT,0.1,0.2,0.02412255499412549,0.051051051051051254,0.5107278214183573
IT,0.1,0.35,0.019599575932726963,0.04147897897897915,0.5107278214183573
IT,0.1,0.45,0.016584256558461276,0.035097597597597736,0.5107278214183573
IT,0.2,0.2,0.04824510998825087,0.10210210210210227,0.5107278214183573
IT,0.2,0.35,0.03919915186545381,0.08295795795795805,0.5107278214183573
IT,0.2,0.45,0.03316851311692244,0.07019519519519522,0.5107278214183573
IT,0.3,0.2,0.07236766498237625,0.15315315315315328,0.5107278214183573
IT,0.3,0.35,0.058798727798180656,0.12443693693693694,0.5107278214183573
IT,0.3,0.45,0.049752769675383716,0.10529279279279297,0.5107278214183573
BE,0.1,0.2,0.025500986708075428,0.05396825396825398,0.5455393632227753
BE,0.1,0.35,0.020719551700311246,0.04384920634920627,0.5455393632227753
BE,0.1,0.45,0.017531928361801855,0.0371031746031746,0.5455393632227753
BE,0.2,0.2,0.051001973416150856,0.10793650793650796,0.5455393632227753
BE,0.2,0.35,0.04143910340062259,0.08769841269841275,0.5455393632227753
BE,0.2,0.45,0.03506385672360371,0.0742063492063492,0.5455393632227753
BE,0.3,0.2,0.07650296012422629,0.16190476190476194,0.5455393632227753
BE,0.3,0.35,0.06215865510093383,0.13154761904761902,0.5455393632227753
BE,0.3,0.45,0.05259578508540555,0.11130952380952379,0.5455393632227753
PT,0.1,0.2,0.024792625966184527,0.0524691358024693,0.5602773684811381
PT,0.1,0.35,0.020144008597524934,0.04263117283950632,0.5602773684811381
PT,0.1,0.45,0.01704493035175181,0.03607253086419754,0.5602773684811381
PT,0.2,0.2,0.049585251932368866,0.10493827160493821,0.5602773684811381
PT,0.2,0.35,0.04028801719504978,0.08526234567901245,0.5602773684811381
PT,0.2,0.45,0.03408986070350362,0.07214506172839508,0.5602773684811381
PT,0.3,0.2,0.0743778778985533,0.15740740740740733,0.5602773684811381
PT,0.3,0.35,0.06043202579257462,0.12789351851851857,0.5602773684811381
PT,0.3,0.45,0.05113479105525543,0.10821759259259262,0.5602773684811381
UK,0.1,0.2,0.022313363369565974,0.047222222222222165,0.45676128520474135
UK,0.1,0.35,0.018129607737772335,0.03836805555555547,0.45676128520474135
UK,0.1,0.45,0.015340437316576572,0.03246527777777766,0.45676128520474135
UK,0.2,0.2,0.04462672673913195,0.09444444444444433,0.45676128520474135
UK,0.2,0.35,0.03625921547554467,0.07673611111111094,0.45676128520474135
UK,0.2,0.45,0.030680874633153256,0.06493055555555556,0.45676128520474135
UK,0.3,0.2,0.06694009010869792,0.1416666666666665,0.45676128520474135
UK,0.3,0.35,0.05438882321331711,0.11510416666666662,0.45676128520474135
UK,0.3,0.45,0.04602131194972983,0.09739583333333322,0.45676128520474135
US,0.1,0.2,0.021769134994698437,0.04607046070460687,0.4589295509648516
US,0.1,0.35,0.01768742218319254,0.037432249322493207,0.4589295509648516
US,0.1,0.45,0.014966280308855268,0.03167344173441742,0.4589295509648516
US,0.2,0.2,0.04353826998939703,0.09214092140921407,0.4589295509648516
US,0.2,0.35,0.03537484436638508,0.07486449864498641,0.4589295509648516
US,0.2,0.45,0.029932560617710387,0.06334688346883453,0.4589295509648516
US,0.3,0.2,0.06530740498409561,0.13821138211382125,0.4589295509648516
US,0.3,0.35,0.05306226654957761,0.11229674796747961,0.4589295509648516
US,0.3,0.45,0.04489884092656566,0.09502032520325196,0.4589295509648516
CA,0.1,0.2,0.022885500891862535,0.048433048433048374,0.5171692817208564
CA,0.1,0.35,0.018594469474638265,0.03935185185185171,0.5171692817208564
CA,0.1,0.45,0.015733781863155542,0.03329772079772086,0.5171692817208564
CA,0.2,0.2,0.04577100178372507,0.09686609686609675,0.5171692817208564
CA,0.2,0.35,0.037188938949276724,0.07870370370370382,0.5171692817208564
CA,0.2,0.45,0.031467563726311085,0.06659544159544172,0.5171692817208564
CA,0.3,0.2,0.0686565026755878,0.14529914529914553,0.5171692817208564
CA,0.3,0.35,0.055783408423914986,0.11805555555555552,0.5171692817208564
CA,0.3,0.45,0.047201345589466634,0.0998931623931626,0.5171692817208564
